Class Name,Class Code,Department,Units,Class Description,Class URL
Econometrics III,ECON 123CW,Economics,4 Units,Seminar course in which students do an original econometric research project. Prerequisite: ECON 123B. Satisfactory completion of the Lower-Division Writing requirement. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. (Ib),https://catalogue.uci.edu/allcourses/econ/
Business Forecasting,ECON 125,Economics,4 Units,"Students learn how to produce forecasts of the behavior of economic (and other) variables. The techniques examined are linear regression, nonlinear regression, and nonparametric kernel regression; AR, MA, ARMA, ARIMA, and Box-Jenkins. Prerequisite: ECON 122A Overlaps with MGMT 180. Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Computational Macroeconomics,ECON 126,Economics,4 Units,"Introduction to the computational methods for studying economic growth and the business cycle. Students learn how to write computer programs to simulate macroeconomic models, download and manage data from internet resources, and to do basic statistics. Prerequisite or corequisite: (ECON 100C or ECON 105C) and (ECON 122A or ECON 123A) Restriction: Business Economics Majors only. Economics Majors only. Quantitative Economics Majors only.",https://catalogue.uci.edu/allcourses/econ/
Experimental Economics,ECON 127A,Economics,4 Units,"Students will learn what constitutes proper experimental design and what laboratory experiments teach us about human behavior and the economy. Students will participate in a sample experiment, evaluate the results, and discuss experiment design and larger issues. Formerly ECON 117. Prerequisite: ECON 15B and ECON 100B",https://catalogue.uci.edu/allcourses/econ/
Machine Learning for Economists,ECON 128,Economics,4 Units,"Develops the theory and computation of recent methods at the intersection of econometrics and machine learning as used in economics and business. Building on intermediate econometrics, it introduces causal random forests, double machine learning, and neural networks. Prerequisite: ECON 123A Restriction: Business Economics Majors only. Economics Majors only. Quantitative Economics Majors only.",https://catalogue.uci.edu/allcourses/econ/
Special Topics in Quantitative Methods,ECON 129,Economics,4 Units,Studies in selected areas of Quantitative Methods. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: Unlimited as topics vary. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
The Economics of Risk and Uncertainty,ECON 131A,Economics,4 Units,The theory of insurance and joint-ownership of risky enterprises; optimal procedures for the allocation of uncertain payoffs. Prerequisite: (ECON 15B or MATH 130B or STAT 120B) and (ECON 100B or ECON 105B) Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. 2552,https://catalogue.uci.edu/allcourses/econ/
Introduction to Financial Investments,ECON 132A,Economics,4 Units,"Modern theories of investment and their application to the study of financial markets. The relation between risk and return, diversification, asset pricing, efficient markets hypothesis, and the market valuation of stocks, bonds, options, and futures. Prerequisite or corequisite: ECON 15A and ECON 15B and (ECON 122A or ECON 123A) and (ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C) or (MATH 130A and STAT 120A and STAT 120B and STAT 120C) or MATH 130B or MATH 133A Overlaps with MGMT 141. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Markets and Networks,ECON 133,Economics,4 Units,"Introduction into network effects in economic settings, such as auctions, markets, and bargaining. Networks are also important in information diffusion, aggregation, and search. Some applications refer to traffic and epidemics. Prerequisite: ECON 100A or ECON 105A Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Corporate Finance,ECON 134A,Economics,4 Units,"Provides an overview of the modern theory and practice of corporate finance and focuses on two fundamental financial decisions; investment as well as financing. Beginning with discounted cash flow analysis, basic theory will be applied to the valuation of stocks. Prerequisite: (ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C) and (ECON 15A or MATH 130A or STAT 120A) and (ECON 15B or MATH 130B or STAT 120B) Overlaps with MGMT 109. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Corporate Finance II,ECON 134B,Economics,4 Units,"Advanced material in corporate finance. How to value companies, debt and equity financing, capital structure, IPOs, venture capital, private equity, and mergers and acquisitions. Applies knowledge through cases and real-life examples. Prerequisite: ECON 134A or MGMT 109 Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Mathematics of Finance,ECON 135,Economics,4 Units,"After reviewing tools from probability, statistics, and elementary differential and partial differential equations, concepts such as hedging, arbitrage, Puts, Calls, the design of portfolios, the derivation and solution of the Blac-Scholes, and other equations are discussed. Prerequisite: MATH 3A or MATH H3A Same as MATH 176. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Mathematics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Financial Markets and the Macroeconomy,ECON 137W,Economics,4 Units,Students are required to write a paper on a research question related to. Prerequisite: ECON 122A or ECON 123A. Satisfactory completion of the Lower-Division Writing requirement. (Ib) 2553,https://catalogue.uci.edu/allcourses/econ/
Special Topics in Financial Economics,ECON 139,Economics,4 Units,Studies in selected areas of Financial Economics. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: Unlimited as topics vary. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Managerial Economics,ECON 140,Economics,4 Units,"A collection of concepts and methods for effective decision making. Explores how the tools of microeconomics, including game theory and industrial organization theory, can be used to make better managerial decisions, particularly those involving allocation of resources within firms. Prerequisite: (ECON 100A and ECON 100B) or (ECON 105A and ECON 105B) Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Health Economics,ECON 140E,Economics,4 Units,"Builds off of economic theory to explore topics in health economics including health care demand, health insurance markets, the supply of health care, and examine health care policy. Prerequisite: (ECON 122A or ECON 123A) and (ECON 100B or ECON 105B) Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
